cid,SMILES,Binding_Modes,dummy_task,canonical_smiles,chembl_id,x,y,pred_T197,pred_T10197,pred_T10907,pred_T12683,pred_T10612,pred_T10188,pred_T10918,pred_T10899,pred_T100417,pred_T10781,pred_T234,pred_T10266,pred_T11902,pred_T12665,pred_T100079,pred_T8,pred_T10979,pred_T10811,pred_T11149,pred_T11409,pred_T11926,pred_T12666,pred_T100097,pred_T12967,pred_T100854,pred_T12261,pred_T11638,pred_T11408,pred_T11407,pred_T12944,pred_T10906,pred_T9,pred_T10919,pred_T12840,pred_T11082,pred_T12946,pred_T188,pred_T100855,pred_T20014,pred_T12090,pred_T12670,pred_T100126,pred_T11678,pred_T35,pred_T10938,pred_T10839,pred_T10434,pred_T10752,pred_T10980,pred_T238,pred_T11242,pred_T10849,pred_T10904,pred_T12913,pred_T10695,pred_T11451,pred_T13004,pred_T10056,pred_T30043,pred_T11635,pred_T10140,pred_T12071,label,batch_label_color,batch_label,label_color
9O5,CC(=O)CCc1cccc(c1)c2nc3cc(ccc3c(n2)NCCc4ccccc4)N,A,0,CC(=O)CCc1cccc(c1)c2nc3cc(ccc3c(n2)NCCc4ccccc4)N,9O5,-20.386406,16.629898,0.29253325,0.5645982,0.57285553,1.0334338,0.91062295,0.23168838,0.42877147,-0.005154431,0.53698003,0.9760934000000001,1.0141261000000001,0.5910661,0.83524424,0.8439940999999999,0.8682091000000001,0.5414004,0.70477664,0.5788505,1.0191548000000001,0.45201492,0.8990874,0.40756273,1.0294291,1.1052841999999998,0.3025198,0.85199606,0.29239488,0.33677834,0.45609984,0.275944,0.38498873,0.32623488,0.70574427,1.5008756,0.03500569,0.3288163,0.8941448000000001,1.0662283000000001,0.57342845,0.28054303,1.3439101,0.36886096,-0.09401548,0.40359340000000005,0.7700232,1.2448959,1.1834917,1.0018188000000001,0.21164703,0.73630995,0.7606695,0.32818216,0.7592808000000001,0.025405407,0.62992376,0.26648533,1.8211089,0.69840693,0.4212315,0.28993902,0.75102866,0.284672,243,#98df8a,11,#e7ba52
78W,CC(=O)CSC(=Nc1ccc(cc1)Cl)NC(=O)c2c(cccc2Cl)F,A,0,CC(=O)CSC(=Nc1ccc(cc1)Cl)NC(=O)c2c(cccc2Cl)F,78W,17.323265,14.9796715,1.4461075,-0.029840112000000002,1.0164577,0.27543629999999997,1.0083547,2.3378343999999998,1.0609621999999999,-0.32605553,0.8924456000000001,2.1296882999999998,1.3349957000000001,1.0964477,2.5102105,0.6131128,1.5596558999999999,0.5922175000000001,0.639061,0.71281826,1.4469652,0.9058776,1.1279677,-0.113319755,1.2906923000000001,0.20885074,2.1899592999999995,0.7301321,0.68322635,0.29110387,0.60349077,2.0559053,-0.40215755,0.37814915,1.3537042,0.95857346,0.2353962,1.2059587999999999,0.7132694,1.2078506000000002,0.5118355,-0.23602378,-0.21309899999999998,2.0931439999999997,0.5953943,0.44357097,0.9187334,1.3366673999999998,0.61332846,0.39714143,-0.08861101,1.0871229,0.69288623,-0.19921839,0.57896245,1.1324544,1.4363587,1.0945096,1.0144114,-0.22096329999999997,0.75665534,-0.025732726,1.0567108,0.70073164,437,#ffbb78,8,#ce6dbd
8ON,CC(=O)N1CCN(CC1)c2ccc(cc2)c3nc4cc(ccc4c(n3)NCCc5ccccc5)N,A,0,CC(=O)N1CCN(CC1)c2ccc(cc2)c3nc4cc(ccc4c(n3)NCCc5ccccc5)N,8ON,3.5791085,-38.792229999999996,0.08782208,0.3168267,0.33021712,0.8388469999999999,0.6666156999999999,0.74929756,1.0892363,0.6813234,0.6884005999999999,0.95316494,1.0851616000000002,1.0641123,0.8658200999999999,0.8241478999999999,0.79208887,0.47767743,0.80138934,0.64064443,0.7245196,0.60201734,1.4303998,0.5912896,0.9336798000000001,0.61728054,1.0107921,1.0205214,0.41849095,0.48886105,0.55680585,0.6566614000000001,0.8717166999999999,0.42563686,0.96816134,1.6190723999999999,0.15856838,0.75154907,0.52629524,0.8199187,0.75912035,0.40400696,1.340839,0.2606194,-0.060429215,0.5429993000000001,0.9655919,0.60437953,0.88652235,0.71425575,0.44536352,0.52997124,0.6985996,0.8334171999999999,0.79286045,0.18166918,0.72256076,0.91124916,1.4697417,0.8768232,-0.0001283884,0.34281954,0.67221475,0.15456155,277,#aec7e8,0,#e7cb94
0R4,CC(=O)Nc1cccc(c1)c2ccc3c(n2)n(c(n3)c4cccnc4N)c5ccc(cc5)CNC(=O)c6cccc(c6)F,A,0,CC(=O)Nc1cccc(c1)c2ccc3c(n2)n(c(n3)c4cccnc4N)c5ccc(cc5)CNC(=O)c6cccc(c6)F,0R4,-17.48629,-3.2046267999999998,0.5501906,-0.17950714,0.27568516,0.85168546,0.7649063,0.95813495,0.9872556,0.65596586,0.7127611999999999,0.84776694,0.9128944,0.8997574,1.4633098,0.84282047,0.6484893,0.46772593,1.4431783999999999,0.39819768,1.0069771,0.8259462,0.7989049,1.6659853,1.2407995,0.5714073000000001,0.9512033000000001,1.0712409999999999,0.3338917,0.3138287,1.060673,0.7726555,0.6493423,0.28540820000000006,1.3376257,1.2531754,-0.07254237,0.44912255,1.2594522,1.2837582,1.0795963,0.44229957,1.4612949,0.70284235,0.44026154,0.50747854,1.2272370000000001,-0.1467787,-0.17686546,0.2667576,0.9754296,0.82298154,0.62943166,1.1111434999999998,0.79828554,0.7408347,2.3263369,1.1614913999999998,1.0111969,0.80903023,1.1504803,0.1924491,0.5564789000000001,0.38542086,233,#aec7e8,0,#e7ba52
1BR,CC(C)(C)c1ccc(cc1)CNc2ccc3c(c2)-c4c(cnn4C)S(=O)(=O)N3C,A,0,CC(C)(C)c1ccc(cc1)CNc2ccc3c(c2)-c4c(cnn4C)S(=O)(=O)N3C,1BR,14.047632,0.43145627,2.4561152,0.1388483,-0.17891842,0.48003477,0.14820522,-0.04317403,1.8206476999999999,2.3503082,0.8747898999999999,0.29173017,0.8101175,0.9595581,2.07342,0.60495526,0.49494886,0.26832372,1.4211472,0.7826444,1.8300528999999999,0.20646048,1.1744348999999998,-0.10386193,0.34585333,0.48020387,1.0977771,0.40332340000000005,0.344119,0.421142,0.7085566999999999,0.9722464,-0.114860654,0.44785473,3.0772182999999997,1.6572378,-0.13893288,1.3257108,-0.10061854,1.4726865,1.422295,0.19661748,2.1507566000000002,1.5259126,0.65973246,0.33930504,0.913351,0.77407914,-0.08498907,0.57888687,1.7544013999999999,0.9928266,0.65606666,0.73186123,0.7331631,0.6574074000000001,1.8526683000000002,0.9394969999999999,1.5150667,0.36230353,0.82863986,0.2938633,1.0138466,0.48398504,187,#ff9896,5,#8c6d31
AGY,CC(C)(C)c1ccc(cc1[N+](=O)[O-])C(=O)NNC(=O)Nc2cccc3c2cccc3,A,0,CC(C)(C)c1ccc(cc1[N+](=O)[O-])C(=O)NNC(=O)Nc2cccc3c2cccc3,AGY,-3.1027857999999995,22.419082999999997,0.4866165,1.8206803,0.17118874,0.42499593,-0.12804538,1.0739807,0.52440506,-0.5884515,1.0384969000000002,1.7725806,0.96797335,2.2645402000000003,1.3085139,0.7010358,0.97771823,0.72980404,0.6997888000000001,2.0441756,1.7926403999999998,0.42353009999999996,1.4882483,0.110337496,0.8216713,0.8668870000000001,0.1778698,0.72717214,-0.09866536,0.23144558,0.6826651999999999,2.4727240000000004,-0.039170027,0.13428783,1.2123561999999999,1.0859078000000002,0.10034522400000001,1.1489482,0.67104924,2.0149493,1.2322288000000001,0.6078302,0.36143488,1.0691328000000002,-0.16052073,0.48022047,0.6176722,1.7592938000000002,1.7469653000000003,0.12813288,0.82697874,2.0812296999999997,0.60221684,-0.12518549,0.38803372,0.8437247999999999,0.6774772,0.27789949999999997,0.8689207,0.3389687,0.9604634,0.28638354,1.5608428,0.6379741999999999,301,#ffbb78,8,#843c39
QWS,CC(C)Oc1ccc2cccc(c2c1)n3cc(c(n3)C(=O)N)NC(=O)N,A,0,CC(C)Oc1ccc2cccc(c2c1)n3cc(c(n3)C(=O)N)NC(=O)N,QWS,-0.8839226,12.982866,0.53956854,1.3510833,0.65353113,0.45887926,0.25165278,1.2631705,0.7453985,0.6479429,1.0780523000000002,1.0697823,1.6891091,1.2650707,1.165527,0.75562954,0.5495869999999999,0.58690196,1.04139,0.042692542,0.54911697,1.9389726000000003,2.8904753,1.0044749,0.7740045999999999,0.58192533,0.925375,1.0401573,0.24898839,0.98151714,0.85963863,1.8100405,0.7593094,0.84138083,1.8394973999999997,1.209835,0.1512351,0.8159877,1.2154301,1.8445435000000001,0.5915938000000001,0.38200212,2.0048995,0.54304147,0.9383556999999999,0.26716572,1.3215101999999999,2.1820388,0.31839459999999997,0.4491491,0.07699323,0.99233603,0.081338584,0.66076577,1.0327661,1.1037831,1.1297021999999999,1.01421,0.77962756,0.9446838,1.2331517,0.16636389999999998,0.3679495,0.7457553000000001,86,#ff9896,5,#9c9ede
A8Q,CC(C)c1ccccc1c2ccc(cc2Cl)CN,A,0,CC(C)c1ccccc1c2ccc(cc2Cl)CN,A8Q,31.602546999999998,24.457268,0.21787351,0.21855408,0.5242484000000001,-0.12709337,0.5497016,0.64419377,1.5854055,0.18509460000000003,2.1342664,-0.5126816,2.2873955,0.7849349,3.538096,1.5972698,0.6683866999999999,0.47447330000000004,0.3975968,-0.22365224,1.2560645000000001,1.3769163,0.86922646,0.24198431,1.1773431,-1.2780346000000002,0.54163015,0.32651216,0.25578773,0.24259174,1.1191944999999999,1.5600541,-0.3878988,-0.15916651,-0.027096033,1.1295623,0.0003374815,0.6570364000000001,0.61104226,3.1783580000000002,0.3398562,0.31842571,1.1368428,0.25263476,0.30906609999999995,0.5108357,1.9210243000000002,2.1112822999999996,0.6504791999999999,0.10918832,-0.07544553,-0.105465114,0.6397622,1.2293457,0.53246135,0.5176192,1.2319156,0.40302575,0.26783353,0.93191713,2.4703221,0.2933397,0.7079201,0.32468092,58,#ffbb78,8,#6b6ecf
AGX,CC(c1[nH]c2ccccc2n1)OC(=O)Nc3ccc(c(c3)Cl)Cl,A,0,CC(c1[nH]c2ccccc2n1)OC(=O)Nc3ccc(c(c3)Cl)Cl,AGX,-7.544135000000001,21.901798,0.6698255999999999,0.6446358,0.44226396,0.35138002,0.72441787,0.9977117,0.9421695,0.14115989,0.4970448,1.1134232,0.7931807,0.74981266,2.0437891,0.91283077,0.61595887,0.7155023,0.9378099,0.63172203,1.7381063,1.8606813000000002,0.9594883,0.18080759,0.6337508000000001,0.18686998,1.0341026,0.6262475000000001,1.9420803,0.31255248,0.4008883,1.257682,0.33925176,0.011129618,1.4676348999999997,1.8254270000000001,0.14775336,0.47517365,0.42063737,1.5465360000000001,1.4180624,0.5194158,1.3655311,2.6263506000000003,0.42322147,0.33643645,2.2763665,1.1073776000000002,-0.029377878,0.6382081999999999,1.5786262,1.6094236000000002,0.48167977,1.1963202,1.238478,1.4100957,1.4026083,1.3192645,1.4042671,0.6155248000000001,0.9801873999999999,0.13859162,1.0331814000000001,0.53087986,47,#c49c94,6,#5254a3
AAK,CCC(=O)N1CCN(c2c1cccc2)C(=O)OC(C)(C)C,A,0,CCC(=O)N1CCN(c2c1cccc2)C(=O)OC(C)(C)C,AAK,19.087347,21.822266,0.41973817,0.637537,0.07878029,1.0786844,0.98744965,0.7731091,0.6831801,2.057086,1.2457716,0.8643851999999999,1.1617435,1.1998633,1.6345477,0.8532538000000001,0.80442536,0.42351526,0.67252666,0.6625323000000001,0.61293155,0.63678086,1.8716769,0.17525905,-0.21694887,-0.01558876,1.3986973,0.083863914,-0.04444444,-0.19114405,1.1896107,1.5786408,-0.10287905,-0.8241835,3.1754493999999998,0.70901644,0.25418612,1.2019238,0.50440896,1.8361986000000001,0.7277268,0.3013075,2.7307107000000004,1.4575729,0.51714945,1.7667529999999998,1.6260803,1.3812889,0.41888762,0.32302666,1.0950676000000001,1.0347548,-0.17758363,-0.027668118,1.0130209000000001,0.8764226999999999,0.9766973,0.65389663,0.51464087,0.5928163000000001,1.1795852,0.09758179,-0.18029249,0.33689085,452,#ffbb78,8,#ce6dbd
